state.abb,name,"Poverty Estimate, All Ages","Poverty Percent, All Ages","Poverty Estimate, Age 0-17","Poverty Percent, Age 0-17",Median Household Income,
IN,Steuben County,3078.00,9.40,831.00,12.60,73250.00,
IN,Sullivan County,2339.00,12.70,632.00,17.20,55497.00,
IN,Switzerland County,1340.00,13.60,501.00,21.90,63246.00,
IN,Tippecanoe County,33200.00,19.20,5531.00,14.90,56088.00,
IN,Tipton County,1527.00,10.10,380.00,12.30,65025.00,
IN,Union County,782.00,11.30,243.00,16.70,61171.00,
IN,Vanderburgh County,26687.00,15.40,7267.00,19.30,57997.00,
IN,Vermillion County,2130.00,14.00,599.00,18.30,58280.00,
IN,Vigo County,17975.00,18.50,4299.00,20.50,52286.00,
IN,Wabash County,3400.00,11.50,910.00,14.80,64025.00,
IN,Warren County,803.00,9.60,240.00,13.30,73539.00,
IN,Warrick County,4762.00,7.40,1166.00,7.90,84567.00,
IN,Washington County,3504.00,12.60,1120.00,18.20,65342.00,
IN,Wayne County,11373.00,17.80,3463.00,23.80,51622.00,
IN,Wells County,2525.00,9.10,827.00,12.10,68879.00,
IN,White County,2295.00,9.40,716.00,12.90,66167.00,
IN,Whitley County,3085.00,9.00,836.00,10.80,72448.00,
IA,Iowa,340272.00,11.00,88115.00,12.30,69708.00,
IA,Adair County,666.00,9.10,190.00,11.40,66997.00,
IA,Adams County,362.00,10.10,117.00,15.10,58973.00,
IA,Allamakee County,1591.00,11.60,495.00,15.00,60743.00,
IA,Appanoose County,1703.00,14.30,527.00,20.30,53589.00,
IA,Audubon County,635.00,11.60,179.00,15.00,60504.00,
IA,Benton County,1897.00,7.50,521.00,9.00,82762.00,
IA,Black Hawk County,20825.00,16.60,5509.00,19.80,62020.00,
IA,Boone County,2232.00,8.60,493.00,9.50,74896.00,
IA,Bremer County,1582.00,6.70,342.00,6.10,83797.00,
IA,Buchanan County,1962.00,9.60,594.00,11.50,70498.00,
IA,Buena Vista County,2019.00,10.20,612.00,11.60,67552.00,
IA,Butler County,1351.00,9.60,363.00,11.60,67233.00,
IA,Calhoun County,779.00,8.60,252.00,12.30,64634.00,
IA,Carroll County,1721.00,8.50,471.00,9.60,73643.00,
IA,Cass County,1763.00,13.70,562.00,19.20,61204.00,
IA,Cedar County,1408.00,7.80,325.00,8.50,71563.00,
IA,Cerro Gordo County,4844.00,11.70,1270.00,14.70,63279.00,
IA,Cherokee County,1200.00,10.70,311.00,12.40,65985.00,
IA,Chickasaw County,958.00,8.30,261.00,9.80,74077.00,
IA,Clarke County,1108.00,11.60,378.00,15.30,65129.00,
IA,Clay County,1499.00,9.30,457.00,12.40,68542.00,
IA,Clayton County,1929.00,11.50,454.00,12.60,64486.00,
IA,Clinton County,6077.00,13.30,1856.00,17.90,61136.00,
IA,Crawford County,1876.00,11.80,592.00,15.10,67363.00,
IA,Dallas County,5214.00,4.90,1401.00,4.90,109138.00,
IA,Davis County,1047.00,11.60,377.00,14.00,65201.00,
IA,Decatur County,1285.00,17.90,375.00,21.80,51749.00,
IA,Delaware County,1471.00,8.50,376.00,9.40,74017.00,
IA,Des Moines County,5593.00,14.80,1610.00,19.30,59688.00,
IA,Dickinson County,1240.00,7.00,256.00,7.60,75406.00,
IA,Dubuque County,10067.00,10.60,2430.00,11.30,73492.00,
IA,Emmet County,1014.00,11.50,220.00,13.30,56834.00,
IA,Fayette County,2389.00,13.00,648.00,16.00,56599.00,
IA,Floyd County,1778.00,11.70,522.00,14.90,64553.00,
IA,Franklin County,1147.00,11.80,390.00,16.90,63775.00,
IA,Fremont County,670.00,10.50,189.00,13.50,69018.00,
IA,Greene County,900.00,10.40,267.00,13.70,63562.00,
IA,Grundy County,872.00,7.10,195.00,6.90,79386.00,
IA,Guthrie County,1060.00,10.10,280.00,12.70,72701.00,
IA,Hamilton County,1339.00,9.20,348.00,10.50,68795.00,
IA,Hancock County,807.00,7.70,239.00,10.60,67498.00,
IA,Hardin County,1701.00,10.70,415.00,14.30,59622.00,
IA,Harrison County,1323.00,9.20,389.00,11.50,73457.00,
IA,Henry County,2187.00,12.00,602.00,14.70,63702.00,
IA,Howard County,856.00,9.10,263.00,11.10,66979.00,
IA,Humboldt County,735.00,7.80,253.00,11.40,71521.00,
IA,Ida County,650.00,9.70,187.00,11.30,67696.00,
IA,Iowa County,1194.00,7.40,287.00,7.60,72948.00,
IA,Jackson County,1960.00,10.30,555.00,13.40,64792.00,
IA,Jasper County,3182.00,8.80,841.00,10.20,69047.00,
IA,Jefferson County,2031.00,13.60,459.00,17.90,59603.00,
IA,Johnson County,22481.00,15.30,3007.00,10.20,74909.00,
IA,Jones County,2076.00,10.60,489.00,11.70,70671.00,
IA,Keokuk County,1155.00,11.80,355.00,16.20,65653.00,
IA,Kossuth County,1236.00,8.70,373.00,11.90,65510.00,
IA,Lee County,4255.00,13.50,1273.00,18.70,59017.00,
IA,Linn County,20251.00,9.10,4797.00,9.60,74134.00,
IA,Louisa County,1149.00,10.90,337.00,14.90,70953.00,
IA,Lucas County,1391.00,16.10,460.00,23.20,60245.00,
IA,Lyon County,802.00,6.70,258.00,7.60,74061.00,
IA,Madison County,1132.00,6.70,298.00,7.10,80887.00,
IA,Mahaska County,2192.00,10.30,633.00,12.50,68759.00,
IA,Marion County,2597.00,8.10,656.00,8.50,73451.00,
IA,Marshall County,4283.00,11.10,1358.00,13.60,69818.00,
IA,Mills County,1283.00,8.90,356.00,11.00,75835.00,
IA,Mitchell County,1186.00,11.50,282.00,11.40,65132.00,
IA,Monona County,941.00,11.30,265.00,14.30,60237.00,
IA,Monroe County,729.00,9.80,246.00,14.30,66176.00,
IA,Montgomery County,1119.00,11.20,381.00,17.00,58895.00,
IA,Muscatine County,5116.00,12.30,1564.00,15.70,69096.00,
IA,O'Brien County,1186.00,8.70,329.00,9.90,67470.00,
IA,Osceola County,646.00,10.90,202.00,14.80,64993.00,
IA,Page County,1738.00,12.50,468.00,18.60,60567.00,
IA,Palo Alto County,950.00,11.20,269.00,13.60,65438.00,
IA,Plymouth County,1680.00,6.60,475.00,7.60,79431.00,
IA,Pocahontas County,760.00,11.00,239.00,15.10,61927.00,
IA,Polk County,50460.00,10.20,14197.00,12.00,77369.00,
IA,Pottawattamie County,10637.00,11.70,3177.00,15.20,68712.00,
IA,Poweshiek County,1498.00,8.90,415.00,11.70,69566.00,
IA,Ringgold County,601.00,13.20,202.00,18.80,60061.00,
IA,Sac County,902.00,9.50,276.00,12.90,72499.00,
IA,Scott County,20116.00,11.80,4999.00,12.70,68576.00,
IA,Shelby County,1007.00,8.80,248.00,9.60,71628.00,
IA,Sioux County,2695.00,8.00,725.00,7.60,75994.00,
IA,Story County,14563.00,16.60,1326.00,8.50,68720.00,
IA,Tama County,2243.00,13.50,726.00,18.30,66295.00,
IA,Taylor County,719.00,12.40,184.00,13.50,56021.00,
IA,Union County,1501.00,13.00,437.00,16.90,55812.00,
IA,Van Buren County,928.00,12.90,299.00,17.70,64550.00,
IA,Wapello County,5473.00,16.10,1628.00,20.50,61555.00,
IA,Warren County,3305.00,6.30,833.00,6.40,90943.00,
IA,Washington County,2188.00,9.90,722.00,13.20,70539.00,
IA,Wayne County,921.00,14.50,343.00,20.40,58000.00,
IA,Webster County,4197.00,12.50,1129.00,14.70,67110.00,
IA,Winnebago County,1015.00,10.10,276.00,12.10,66776.00,
IA,Winneshiek County,1777.00,9.70,312.00,8.60,72032.00,
IA,Woodbury County,13386.00,13.00,4112.00,15.50,66830.00,
IA,Worth County,702.00,9.70,204.00,13.60,71329.00,
IA,Wright County,1405.00,11.20,475.00,15.30,67291.00,
KS,Kansas,340106.00,11.90,92995.00,13.70,68827.00,
KS,Allen County,1904.00,15.70,587.00,21.30,50995.00,
KS,Anderson County,1042.00,13.60,336.00,17.70,59683.00,
KS,Atchison County,2127.00,14.70,596.00,17.20,59085.00,
KS,Barber County,489.00,12.00,168.00,17.60,59845.00,
KS,Barton County,3430.00,13.90,1038.00,17.60,56711.00,
KS,Bourbon County,2670.00,19.00,895.00,24.20,44954.00,
KS,Brown County,1331.00,14.40,409.00,17.40,56391.00,
KS,Butler County,5131.00,7.80,1493.00,9.10,80214.00,
KS,Chase County,268.00,11.30,74.00,15.10,58580.00,
KS,Chautauqua County,574.00,17.10,194.00,26.50,49457.00,
KS,Cherokee County,3047.00,16.20,854.00,19.90,54965.00,
KS,Cheyenne County,331.00,13.00,106.00,19.20,56500.00,
KS,Clark County,241.00,12.70,78.00,16.60,58914.00,
KS,Clay County,965.00,12.30,276.00,15.10,59021.00,
KS,Cloud County,1104.00,13.10,335.00,16.20,52483.00,
KS,Coffey County,785.00,9.60,216.00,12.30,69100.00,
KS,Comanche County,193.00,11.90,59.00,15.90,53657.00,
KS,Cowley County,5203.00,16.00,1721.00,21.80,56416.00,
KS,Crawford County,6656.00,17.70,1700.00,20.30,51835.00,
KS,Decatur County,379.00,14.40,113.00,21.50,51152.00,
KS,Dickinson County,1840.00,10.20,536.00,13.00,63136.00,
KS,Doniphan County,747.00,10.60,185.00,12.20,64608.00,
KS,Douglas County,16828.00,15.10,2117.00,10.40,67482.00,
KS,Edwards County,328.00,12.10,112.00,18.50,55777.00,
KS,Elk County,410.00,16.80,140.00,25.20,47094.00,
KS,Ellis County,3711.00,13.60,607.00,10.60,61675.00,
KS,Ellsworth County,617.00,11.90,146.00,13.60,63636.00,
KS,Finney County,4439.00,12.00,1618.00,14.70,69966.00,
KS,Ford County,3856.00,11.70,1302.00,13.30,67714.00,
KS,Franklin County,2536.00,10.00,701.00,12.10,67263.00,
KS,Geary County,4576.00,13.20,1767.00,15.80,60026.00,
KS,Gove County,297.00,11.10,102.00,15.10,64037.00,
KS,Graham County,315.00,13.30,82.00,16.40,53233.00,
KS,Grant County,796.00,11.20,321.00,15.20,66022.00,
KS,Gray County,466.00,8.30,160.00,9.90,77761.00,
KS,Greeley County,123.00,10.30,39.00,11.60,72300.00,
KS,Greenwood County,903.00,15.40,275.00,21.80,52145.00,
KS,Hamilton County,315.00,13.00,113.00,17.40,63442.00,
KS,Harper County,722.00,13.80,240.00,18.10,52893.00,
KS,Harvey County,2943.00,9.00,852.00,11.00,73854.00,
KS,Haskell County,348.00,9.90,119.00,13.10,69971.00,
KS,Hodgeman County,158.00,9.10,33.00,8.00,67478.00,
KS,Jackson County,1145.00,8.80,384.00,11.90,70445.00,
KS,Jefferson County,1465.00,8.10,361.00,9.20,75774.00,
KS,Jewell County,348.00,12.10,116.00,19.40,56144.00,
KS,Johnson County,33349.00,5.40,6700.00,4.70,99174.00,
KS,Kearny County,387.00,10.30,139.00,12.80,75773.00,
KS,Kingman County,820.00,11.60,264.00,16.60,65597.00,
KS,Kiowa County,285.00,12.80,83.00,14.90,61700.00,
KS,Labette County,2969.00,15.30,930.00,20.00,52318.00,
KS,Lane County,163.00,10.60,53.00,15.00,64934.00,
KS,Leavenworth County,7294.00,9.50,2015.00,10.50,79117.00,
KS,Lincoln County,322.00,11.30,101.00,16.20,58049.00,
KS,Linn County,1246.00,12.80,352.00,16.70,59651.00,
KS,Logan County,262.00,9.80,83.00,12.60,63204.00,
KS,Lyon County,4935.00,16.10,1233.00,17.80,55863.00,
KS,McPherson County,2860.00,10.20,613.00,9.60,73766.00,
KS,Marion County,1141.00,10.20,300.00,12.10,64337.00,
KS,Marshall County,1045.00,10.70,254.00,10.90,58942.00,
KS,Meade County,378.00,9.90,143.00,14.00,68038.00,
KS,Miami County,2377.00,6.90,627.00,7.90,82606.00,
KS,Mitchell County,680.00,12.10,206.00,15.30,63929.00,
KS,Montgomery County,4559.00,15.10,1446.00,20.10,54955.00,
KS,Morris County,555.00,10.60,170.00,15.50,60741.00,
KS,Morton County,311.00,12.20,114.00,17.60,62896.00,
KS,Nemaha County,869.00,8.80,261.00,9.70,72719.00,
KS,Neosho County,2360.00,15.60,765.00,20.80,49322.00,
KS,Ness County,289.00,11.30,78.00,13.40,61539.00,
KS,Norton County,699.00,16.10,210.00,20.80,56604.00,
KS,Osage County,1743.00,11.30,496.00,13.90,62995.00,
KS,Osborne County,467.00,13.80,146.00,18.30,53971.00,
KS,Ottawa County,573.00,10.10,165.00,12.60,69542.00,
KS,Pawnee County,789.00,14.60,161.00,18.40,47939.00,
KS,Phillips County,589.00,12.40,139.00,13.40,58834.00,
KS,Pottawatomie County,1906.00,7.40,608.00,8.20,85822.00,
KS,Pratt County,876.00,10.20,269.00,12.70,65812.00,
KS,Rawlins County,274.00,11.00,74.00,12.70,59116.00,
KS,Reno County,9000.00,15.30,2509.00,19.00,57663.00,
KS,Republic County,461.00,10.10,122.00,12.30,53974.00,
KS,Rice County,960.00,10.80,306.00,14.40,61727.00,
KS,Riley County,12237.00,20.20,1693.00,15.40,55876.00,
KS,Rooks County,518.00,11.20,124.00,12.30,57029.00,
KS,Rush County,416.00,14.60,99.00,16.50,56629.00,
KS,Russell County,946.00,14.40,284.00,19.40,48754.00,
KS,Saline County,6832.00,13.10,1709.00,14.60,57563.00,
KS,Scott County,368.00,7.50,112.00,8.90,71121.00,
KS,Sedgwick County,81103.00,15.70,24164.00,18.90,64720.00,
KS,Seward County,2880.00,13.70,1039.00,16.00,63579.00,
KS,Shawnee County,23618.00,13.60,6081.00,15.30,61255.00,
KS,Sheridan County,261.00,10.90,95.00,16.00,62918.00,
KS,Sherman County,720.00,12.80,211.00,15.80,57044.00,
KS,Smith County,393.00,11.30,106.00,15.40,52101.00,
KS,Stafford County,498.00,12.80,172.00,17.90,58019.00,
KS,Stanton County,198.00,10.20,59.00,10.90,76137.00,
KS,Stevens County,507.00,10.00,210.00,14.10,69320.00,
KS,Sumner County,2905.00,13.10,825.00,15.40,62921.00,
KS,Thomas County,771.00,10.30,186.00,10.00,62916.00,
KS,Trego County,295.00,10.90,62.00,12.40,54628.00,
KS,Wabaunsee County,533.00,7.80,151.00,9.80,68435.00,
KS,Wallace County,197.00,13.50,77.00,19.00,62309.00,
KS,Washington County,520.00,9.60,139.00,10.70,63797.00,
KS,Wichita County,225.00,11.10,69.00,12.20,68225.00,
KS,Wilson County,1158.00,13.70,350.00,17.20,52064.00,
KS,Woodson County,469.00,15.30,118.00,19.20,49477.00,
KS,Wyandotte County,25639.00,15.70,9049.00,20.60,58701.00,
KY,Kentucky,716293.00,16.30,202846.00,20.60,59246.00,
KY,Adair County,3943.00,22.10,1138.00,31.90,44153.00,
KY,Allen County,3230.00,15.30,1020.00,21.50,61655.00,
KY,Anderson County,2843.00,11.80,907.00,16.60,66846.00,
KY,Ballard County,1130.00,15.00,321.00,21.60,56605.00,
KY,Barren County,7390.00,16.80,2206.00,21.50,50658.00,
KY,Bath County,2613.00,20.60,946.00,29.80,48260.00,
KY,Bell County,6953.00,30.40,2013.00,40.20,33923.00,
KY,Boone County,10120.00,7.40,2786.00,8.10,90265.00,
KY,Bourbon County,3297.00,16.50,1019.00,22.90,56879.00,
KY,Boyd County,8437.00,18.40,2275.00,22.80,55397.00,
KY,Boyle County,4123.00,14.80,1078.00,17.50,57975.00,
KY,Bracken County,1275.00,15.20,403.00,20.90,58301.00,
KY,Breathitt County,3950.00,30.10,1122.00,41.50,36300.00,
KY,Breckinridge County,3901.00,19.00,1143.00,24.70,52400.00,
KY,Bullitt County,7813.00,9.40,2054.00,11.90,77192.00,
KY,Butler County,2263.00,18.70,605.00,22.40,50824.00,
KY,Caldwell County,2144.00,17.40,654.00,23.60,51553.00,
KY,Calloway County,6649.00,19.20,1436.00,21.30,51949.00,
KY,Campbell County,8673.00,9.50,2135.00,11.50,74149.00,
KY,Carlisle County,754.00,16.20,254.00,23.40,54535.00,
KY,Carroll County,1732.00,16.30,633.00,22.50,59226.00,
KY,Carter County,5010.00,19.50,1499.00,26.00,48285.00,
KY,Casey County,3954.00,25.50,1283.00,36.10,43539.00,
KY,Christian County,12282.00,18.30,4506.00,22.70,56610.00,
KY,Clark County,5621.00,15.40,1612.00,20.20,61641.00,
KY,Clay County,6407.00,35.10,1821.00,46.10,34473.00,
KY,Clinton County,2108.00,23.50,640.00,33.80,41739.00,
KY,Crittenden County,1705.00,19.60,562.00,28.40,50452.00,
KY,Cumberland County,1400.00,23.90,413.00,32.90,48864.00,
KY,Daviess County,13143.00,13.10,3541.00,14.60,65949.00,
KY,Edmonson County,2048.00,16.80,564.00,26.60,51402.00,
KY,Elliott County,1673.00,27.20,386.00,32.20,40312.00,
KY,Estill County,2969.00,21.30,728.00,24.70,39402.00,
KY,Fayette County,45848.00,14.90,10459.00,16.30,63667.00,
KY,Fleming County,3219.00,21.30,993.00,28.00,50012.00,
KY,Floyd County,12049.00,34.80,3843.00,49.80,37296.00,
KY,Franklin County,7026.00,14.10,2028.00,19.20,58456.00,
KY,Fulton County,1703.00,29.20,507.00,38.90,40409.00,
KY,Gallatin County,1146.00,13.30,374.00,18.90,59175.00,
KY,Garrard County,2810.00,16.10,767.00,20.50,57748.00,
KY,Grant County,3263.00,13.00,1082.00,16.50,66458.00,
KY,Graves County,6750.00,18.80,1663.00,19.50,53408.00,
KY,Grayson County,4397.00,17.10,1352.00,22.40,52130.00,
KY,Green County,2231.00,19.90,595.00,25.50,46169.00,
KY,Greenup County,5599.00,16.10,1496.00,20.40,54462.00,
KY,Hancock County,1248.00,14.00,371.00,17.60,66300.00,
KY,Hardin County,13692.00,12.60,4155.00,15.40,61920.00,
KY,Harlan County,6768.00,26.90,2067.00,34.50,36022.00,
KY,Harrison County,2770.00,14.80,800.00,18.90,60962.00,
KY,Hart County,3935.00,20.40,1129.00,24.10,47229.00,
KY,Henderson County,7505.00,17.40,2302.00,23.80,55530.00,
KY,Henry County,2029.00,13.00,648.00,18.30,65068.00,
KY,Hickman County,690.00,16.10,227.00,27.10,53838.00,
KY,Hopkins County,8415.00,19.30,2825.00,28.10,52198.00,
KY,Jackson County,3146.00,24.50,950.00,32.10,41007.00,
KY,Jefferson County,115319.00,15.20,33169.00,20.00,64719.00,
KY,Jessamine County,6479.00,12.30,2035.00,16.40,69216.00,
KY,Johnson County,5687.00,26.00,1514.00,31.30,42877.00,
KY,Kenton County,18257.00,10.80,5296.00,13.80,77284.00,
KY,Knott County,3892.00,29.20,1150.00,42.20,38456.00,
KY,Knox County,9557.00,33.10,2755.00,40.50,36573.00,
KY,Larue County,2687.00,18.00,761.00,23.00,53939.00,
KY,Laurel County,12616.00,20.40,3467.00,24.90,50721.00,
KY,Lawrence County,4134.00,25.90,1103.00,29.00,42776.00,
KY,Lee County,2230.00,36.40,569.00,45.40,34632.00,
KY,Leslie County,2930.00,30.10,789.00,37.10,36666.00,
KY,Letcher County,5910.00,28.70,1565.00,35.20,37854.00,
KY,Lewis County,2946.00,23.10,886.00,31.20,44098.00,
KY,Lincoln County,4426.00,18.40,1402.00,24.20,49814.00,
KY,Livingston County,1300.00,14.60,403.00,22.60,55355.00,
KY,Logan County,4237.00,15.40,1285.00,19.50,56823.00,
KY,Lyon County,1082.00,14.90,221.00,18.10,58938.00,
KY,McCracken County,10063.00,15.20,3090.00,21.70,60026.00,
KY,McCreary County,5190.00,34.60,1513.00,43.00,35443.00,
KY,McLean County,1236.00,13.70,351.00,16.90,55555.00,
KY,Madison County,14003.00,15.50,3686.00,18.90,60994.00,
KY,Magoffin County,3340.00,29.80,927.00,36.90,35669.00,
KY,Marion County,3588.00,18.60,980.00,21.30,53676.00,
KY,Marshall County,3939.00,12.60,1064.00,17.10,64395.00,
KY,Martin County,3451.00,36.20,834.00,40.20,34435.00,
KY,Mason County,3344.00,20.10,990.00,25.70,49029.00,
KY,Meade County,3525.00,11.90,1020.00,15.90,69632.00,
KY,Menifee County,1424.00,23.10,408.00,38.10,43226.00,
KY,Mercer County,2865.00,12.70,880.00,18.00,65292.00,
KY,Metcalfe County,2492.00,24.30,788.00,33.30,44973.00,
KY,Monroe County,2337.00,20.90,745.00,28.80,45872.00,
KY,Montgomery County,4279.00,15.30,1145.00,18.00,55924.00,
KY,Morgan County,3042.00,25.20,745.00,30.70,41863.00,
KY,Muhlenberg County,6264.00,21.70,1657.00,27.10,48190.00,
KY,Nelson County,5263.00,11.20,1555.00,14.70,66681.00,
KY,Nicholas County,1356.00,17.70,483.00,25.90,51100.00,
KY,Ohio County,4014.00,17.30,1256.00,23.10,50275.00,
KY,Oldham County,2836.00,4.40,641.00,3.80,116173.00,
KY,Owen County,1632.00,14.60,465.00,19.80,60592.00,
KY,Owsley County,1263.00,32.90,387.00,44.00,32783.00,
KY,Pendleton County,2090.00,14.40,603.00,18.30,65727.00,
KY,Perry County,7200.00,27.00,1834.00,29.90,43945.00,
KY,Pike County,13778.00,25.10,3446.00,30.70,41837.00,
KY,Powell County,3334.00,26.20,981.00,32.30,42434.00,
KY,Pulaski County,12116.00,18.80,3257.00,23.30,46380.00,
KY,Robertson County,419.00,19.30,125.00,26.90,53456.00,
KY,Rockcastle County,3837.00,24.20,1003.00,29.90,45161.00,
KY,Rowan County,4632.00,21.40,1209.00,25.70,50498.00,
KY,Russell County,3612.00,20.20,1060.00,26.50,44425.00,
KY,Scott County,4818.00,8.30,1365.00,9.70,86169.00,
KY,Shelby County,4235.00,8.90,1272.00,12.30,81815.00,
KY,Simpson County,3011.00,15.60,860.00,19.10,58550.00,
KY,Spencer County,1664.00,8.30,426.00,9.50,101552.00,
KY,Taylor County,4445.00,17.80,1395.00,23.70,52414.00,
KY,Todd County,2093.00,17.10,760.00,22.90,53280.00,
KY,Trigg County,1971.00,13.80,629.00,20.60,56433.00,
KY,Trimble County,1027.00,12.10,299.00,16.20,65828.00,
KY,Union County,2185.00,17.20,582.00,25.40,58223.00,
KY,Warren County,24613.00,18.40,6212.00,19.60,60651.00,
KY,Washington County,1710.00,14.40,476.00,17.70,59937.00,
KY,Wayne County,5552.00,28.80,1491.00,38.50,39863.00,
KY,Webster County,1814.00,14.70,613.00,20.90,56052.00,
KY,Whitley County,9224.00,26.30,3233.00,34.60,43604.00,
KY,Wolfe County,2001.00,32.00,593.00,42.80,37718.00,
KY,Woodford County,2685.00,10.10,804.00,14.30,76633.00,
LA,Louisiana,832505.00,18.60,261311.00,24.90,55458.00,
LA,Acadia Parish,13921.00,24.90,4646.00,32.60,42981.00,
LA,Allen Parish,4064.00,20.90,1204.00,23.80,51423.00,
LA,Ascension Parish,13406.00,10.30,4133.00,12.30,81284.00,
LA,Assumption Parish,3741.00,18.30,1107.00,26.70,54403.00,
LA,Avoyelles Parish,9765.00,27.20,2950.00,32.80,41587.00,
LA,Beauregard Parish,5285.00,14.90,1619.00,17.80,64394.00,
LA,Bienville Parish,3135.00,25.50,1040.00,36.80,41807.00,
LA,Bossier Parish,16634.00,13.10,5682.00,18.20,63812.00,
LA,Caddo Parish,49858.00,22.20,16548.00,31.50,47699.00,
LA,Calcasieu Parish,32866.00,16.50,10320.00,21.10,61797.00,
LA,Caldwell Parish,1868.00,21.10,617.00,28.80,46464.00,
LA,Cameron Parish,688.00,14.10,210.00,19.50,63413.00,
LA,Catahoula Parish,2044.00,25.30,673.00,36.90,41676.00,
LA,Claiborne Parish,3448.00,28.90,931.00,35.90,37788.00,
LA,Concordia Parish,4777.00,27.70,1814.00,42.50,41101.00,
LA,De Soto Parish,5245.00,19.80,1732.00,27.60,52776.00,
LA,East Baton Rouge Parish,80321.00,18.50,22497.00,22.80,61376.00,
LA,East Carroll Parish,2208.00,41.50,670.00,48.20,30688.00,
LA,East Feliciana Parish,2718.00,16.30,765.00,23.80,56830.00,
LA,Evangeline Parish,7328.00,24.00,2559.00,32.30,40933.00,
LA,Franklin Parish,4700.00,24.80,1699.00,35.40,38584.00,
LA,Grant Parish,3472.00,18.30,1070.00,23.70,52832.00,
LA,Iberia Parish,15387.00,22.80,5616.00,33.20,45077.00,
LA,Iberville Parish,5105.00,19.10,1704.00,28.80,53205.00,
LA,Jackson Parish,3404.00,24.10,1155.00,36.90,43813.00,
LA,Jefferson Parish,63585.00,15.00,19415.00,21.10,61157.00,
LA,Jefferson Davis Parish,5901.00,18.90,1762.00,22.10,52414.00,
LA,Lafayette Parish,41649.00,17.00,11752.00,20.20,58641.00,
LA,Lafourche Parish,16245.00,17.40,3921.00,18.40,59575.00,
LA,La Salle Parish,2389.00,18.80,698.00,22.50,55633.00,
LA,Lincoln Parish,13878.00,32.40,3533.00,38.10,44752.00,
LA,Livingston Parish,19692.00,13.40,5575.00,15.10,72887.00,
LA,Madison Parish,3218.00,37.00,1138.00,48.70,33403.00,
LA,Morehouse Parish,6222.00,26.80,2221.00,39.70,39493.00,
LA,Natchitoches Parish,9973.00,28.90,2735.00,33.70,42178.00,
LA,Orleans Parish,80328.00,22.60,23489.00,33.20,51913.00,
LA,Ouachita Parish,35808.00,23.50,12873.00,34.20,47283.00,
LA,Plaquemines Parish,3569.00,16.40,1141.00,21.20,71876.00,
LA,Pointe Coupee Parish,3411.00,17.10,1051.00,24.90,56457.00,
LA,Rapides Parish,23295.00,18.70,8254.00,26.70,55870.00,
LA,Red River Parish,1783.00,24.70,620.00,36.60,44139.00,
LA,Richland Parish,3903.00,20.60,1418.00,30.50,44470.00,
LA,Sabine Parish,5534.00,25.60,1682.00,33.70,45072.00,
LA,St. Bernard Parish,9882.00,22.40,3261.00,29.10,51485.00,
LA,St. Charles Parish,5688.00,11.30,1976.00,16.40,75223.00,
LA,St. Helena Parish,2699.00,25.20,956.00,44.60,45024.00,
LA,St. James Parish,3051.00,15.80,988.00,23.40,67938.00,
LA,St. John the Baptist Parish,6207.00,15.70,2443.00,26.20,60569.00,
LA,St. Landry Parish,22555.00,28.00,7621.00,35.70,42765.00,
LA,St. Martin Parish,9246.00,18.20,2909.00,24.00,54265.00,
LA,St. Mary Parish,11575.00,24.60,3905.00,34.60,48242.00,
LA,St. Tammany Parish,29091.00,10.70,9089.00,14.40,78629.00,
LA,Tangipahoa Parish,25934.00,19.50,9034.00,27.60,54942.00,
LA,Tensas Parish,1347.00,35.00,445.00,55.00,33290.00,
LA,Terrebonne Parish,17009.00,16.40,5467.00,21.50,57376.00,
LA,Union Parish,4719.00,23.30,1496.00,34.00,48003.00,
LA,Vermilion Parish,11561.00,20.50,3770.00,26.80,50554.00,
LA,Vernon Parish,8313.00,18.30,2708.00,23.00,52626.00,
LA,Washington Parish,9956.00,23.10,3127.00,30.00,41779.00,
LA,Webster Parish,7931.00,22.50,2723.00,34.50,43698.00,
LA,West Baton Rouge Parish,3313.00,12.10,1256.00,18.30,71362.00,
LA,West Carroll Parish,1861.00,19.80,645.00,30.50,41380.00,
LA,West Feliciana Parish,1978.00,19.80,426.00,17.40,68266.00,
LA,Winn Parish,2820.00,24.00,827.00,31.10,45646.00,
ME,Maine,146963.00,10.90,29991.00,12.40,69485.00,
ME,Androscoggin County,13750.00,12.80,3591.00,15.90,62848.00,
ME,Aroostook County,10138.00,15.40,1986.00,16.50,51562.00,
ME,Cumberland County,19827.00,6.60,3640.00,6.80,88571.00,
ME,Franklin County,4061.00,14.20,817.00,16.30,52159.00,
ME,Hancock County,6064.00,11.00,1177.00,13.30,63879.00,
ME,Kennebec County,14916.00,12.20,3280.00,14.40,63191.00,
ME,Knox County,4194.00,10.60,708.00,10.50,65615.00,
ME,Lincoln County,3232.00,9.10,680.00,11.90,72657.00,
ME,Oxford County,7462.00,12.70,1611.00,16.00,58842.00,
ME,Penobscot County,21623.00,14.60,4012.00,15.50,60761.00,
ME,Piscataquis County,2522.00,14.70,528.00,18.20,52529.00,
ME,Sagadahoc County,3424.00,9.30,620.00,9.60,73587.00,
ME,Somerset County,7760.00,15.40,1718.00,19.00,55093.00,
ME,Waldo County,5139.00,13.00,1118.00,16.20,63619.00,
ME,Washington County,4781.00,15.60,1042.00,18.50,55381.00,
ME,York County,18069.00,8.50,3462.00,9.30,81315.00,
MD,Maryland,589754.00,9.80,160856.00,12.10,94957.00,
